# m	b	logf
-1.030931657973974680e+00	4.717472958779317160e+00	-7.540576366574254230e-01
-8.547786952939786520e-01	3.851522584349454270e+00	-3.981359930672374037e-01
-9.157511212049271876e-01	4.133008087060512814e+00	-5.261789369385359016e-01
-8.761463966642135670e-01	3.904159255765096592e+00	-2.893507867891490504e-01
-8.537144551745267096e-01	3.751863912149369096e+00	-5.939072502643792939e-01
-7.236722572367627615e-01	3.245233086266226863e+00	-5.947299545156281564e-02
-8.373743792261854058e-01	3.808042256254006830e+00	-3.517391489683099337e-01
-1.002773288481381364e+00	4.706104385303257587e+00	-5.851283310360209100e-01
-8.297614442325301765e-01	3.840417339480162617e+00	-3.498389835347084365e-01
-9.463740282576392771e-01	4.232161706977206173e+00	-5.736899421783041575e-01
-9.000774163349198886e-01	3.916856787140828189e+00	-7.053381418583504203e-01
-9.685077227675292777e-01	4.423221530190286188e+00	-5.992422678050003393e-01
-8.609256222381733714e-01	3.896746297205798459e+00	-3.276138407479317616e-01
-8.376147572773500194e-01	3.785291037124933755e+00	-2.739440558920107072e-01
-9.673031167116111773e-01	4.242752558294550447e+00	-7.834869826986281538e-01
-9.292414265560222653e-01	4.376832690559051109e+00	-5.995317122380513508e-01
-9.463875057904750365e-01	4.146615363665072884e+00	-5.257999569074990331e-01
-7.597646087020868411e-01	3.424498502959045787e+00	-4.623724534929853358e-01
-9.663225355865991961e-01	4.340436899946072735e+00	-6.357605063484690344e-01
-8.110651919658662390e-01	3.760127505544560211e+00	-4.439769070637380466e-01
-9.017966991207581051e-01	3.994451705099674843e+00	-4.618139366583983163e-01
-9.760669105219703656e-01	4.369185773208391410e+00	-6.733732359281321411e-01
-8.786251671918062778e-01	3.954793181946782976e+00	-5.490022544154919970e-01
-8.380455092535259443e-01	3.793760592393376374e+00	-1.521188284474809249e-01
-8.445281569975600089e-01	3.776881781247765968e+00	-4.228111361938095003e-01
-9.494003494882951033e-01	4.095680682942406392e+00	-5.207262416905469316e-01
-1.037922891707954154e+00	5.005956220000878254e+00	-6.432119258410041729e-01
-9.187141514570373868e-01	4.006896387617794986e+00	-6.203414021283053525e-01
-8.530195017041968253e-01	3.871540151996322621e+00	-2.316183063320443880e-01
-8.752952859292033594e-01	4.127448754081253668e+00	-5.216568216401090696e-01
-9.643451558610157681e-01	4.367479389077029595e+00	-8.147494619145398964e-01
-8.500204552270372860e-01	3.813699725830618448e+00	-5.600504438791005235e-01
-1.041299878701833270e+00	4.757446335024795303e+00	-7.639336317765144102e-01
-9.498767694276090134e-01	4.459350515917066105e+00	-8.112095901847109491e-01
-8.333132193040410085e-01	3.802235831192684934e+00	-2.107177355171863387e-01
-8.859044350375200327e-01	3.968816353831954302e+00	-3.261105071973591785e-01
-9.999481783395111067e-01	4.603464583797120646e+00	-7.524451873272527402e-01
-1.102723344996390242e+00	5.232971836280494671e+00	-4.605662061766147564e-01
-9.111820174633873393e-01	4.202592633457069127e+00	-5.890551052014721956e-01
-1.065468015850682404e+00	5.073649971596509545e+00	-8.396674703772333270e-01
-8.983504932891732686e-01	4.101512896582222290e+00	-6.044597266635213240e-01
-1.010375700566054302e+00	4.603894220315265962e+00	-6.443777950645183106e-01
-9.399823548399464102e-01	4.310945974978790396e+00	-6.095616814496744862e-01
-1.045762198546536625e+00	4.752483863883245618e+00	-9.036998301818558454e-01
-8.897173578365352720e-01	3.995406451980620055e+00	-3.789580438136882501e-01
-8.104614459859733611e-01	3.694361179164912468e+00	-3.503476717362678516e-01
-9.190194185039021191e-01	4.069874169591073176e+00	-5.368408219859157615e-01
-8.779617571585131008e-01	4.209854426468016442e+00	-5.180874272127168334e-01
-1.009764415693971795e+00	4.485626869355946233e+00	-5.565087211810825218e-01
-7.517950114908402703e-01	3.421190231832793138e+00	-2.126971999152588721e-01
-9.898107904977603289e-01	4.455513463719617206e+00	-5.107040054426936759e-01
-7.750960470570997796e-01	3.526935629729400112e+00	-4.383201216096673791e-01
-8.354981094058491209e-01	3.764714376262475959e+00	-4.090135910659677965e-01
-1.006715025690678944e+00	4.631765641423412738e+00	-4.624761401752274237e-01
-8.161663729297060632e-01	3.798761984190364149e+00	-4.588365005372893601e-01
-9.221237361524955434e-01	4.100743756594463107e+00	-3.683602138053138630e-01
-1.023857348024381109e+00	4.606476291624163721e+00	-6.472759046275082806e-01
-8.931135992270584634e-01	4.042053280352945421e+00	-6.425933650526954866e-01
-9.965589976549878992e-01	4.647271777690706429e+00	-5.675066683555851643e-01
-8.859252510416959492e-01	4.012149047683909231e+00	-6.661476624190563189e-01
-1.034107228076360352e+00	4.612230258699993257e+00	-6.933218443850961421e-01
-7.780860584196734875e-01	3.517654938199948234e+00	-5.477505608660807601e-01
-9.406654605842513783e-01	4.396131289788634433e+00	-4.450584779896131216e-01
-9.228623773541961839e-01	4.157325256711618344e+00	-5.706330280663551857e-01
-9.901878135458292984e-01	4.423853319437650811e+00	-8.796386524079634617e-01
-7.855956634818337392e-01	3.660139849331133455e+00	-3.609739269155205488e-01
-7.670736172761785099e-01	3.432266454224438768e+00	-2.794235635754602765e-01
-9.547621618094447316e-01	4.436529974923670849e+00	-5.774249451572910363e-01
-9.145309335256150973e-01	4.331726345636504050e+00	-4.507590900718950189e-01
-9.314952265758236205e-01	4.234158454225343426e+00	-3.864159534219211434e-01
-9.095213198587498438e-01	4.070648037189509516e+00	-5.794820141135190728e-01
-8.985452666957320922e-01	4.073527402352438820e+00	-5.826457477619775283e-01
-1.057438885585118893e+00	4.775063580894583382e+00	-7.356623900851344544e-01
-9.802456795590102079e-01	4.544414395776926519e+00	-5.819297553317499538e-01
-1.003018406113751926e+00	4.743827311892209408e+00	-5.936446008598134094e-01
-1.142432876215624837e+00	5.248802161136165267e+00	-8.116327297762239157e-01
-8.971993514777595324e-01	4.279660331203090529e+00	-1.324792209987247782e-01
-8.359139084844858791e-01	3.782047444971586181e+00	-4.016544096079893711e-01
-9.508656962783657018e-01	4.258692074857941101e+00	-5.193219624982853277e-01
-7.797600789213693373e-01	3.627572041368690492e+00	-3.085886253902528353e-01
-1.218541253035507088e+00	5.425549137776341624e+00	-7.983805667707528642e-01
-8.018410908960189598e-01	3.701663786059956163e+00	-3.802964084300458070e-01
-9.421748839432912970e-01	4.255826414676393554e+00	-7.033392523305473931e-01
-8.303852127244503167e-01	3.785862243190585730e+00	-5.861365397861616477e-01
-8.029887002846873845e-01	3.530810110573449290e+00	-3.372612073432925128e-01
-9.589094945940190851e-01	4.261758843101459249e+00	-7.087563724255026010e-01
-8.262263475202821228e-01	3.819823695780786288e+00	-4.385674928493553670e-01
-9.237571266026018968e-01	4.207367390255082995e+00	-4.934178374674711431e-01
-9.800374476836171134e-01	4.436699895383504177e+00	-6.298895947571621079e-01
-9.433140822218750721e-01	4.363056400284848202e+00	-5.278466218789904518e-01
-8.921595408067160005e-01	4.286852180227055165e+00	-5.641505261025263618e-01
-9.206625404844477334e-01	4.207940518338037172e+00	-8.809739232812698884e-01
-9.939872377293665906e-01	4.472988723267477873e+00	-7.669666705545407082e-01
-1.113886195145721292e+00	5.272689821643412600e+00	-6.309700059755504187e-01
-1.086220704069403631e+00	5.086373652599037953e+00	-6.855281022869363916e-01
-8.721693852846957862e-01	4.037912851400422554e+00	-4.324976223147736221e-01
-8.984703303966036225e-01	4.094712451020209087e+00	-5.108593167347919017e-01
-7.993320657465675660e-01	3.710615463108440704e+00	-2.426012003429659503e-01
-9.196951346138506622e-01	4.239724918207248727e+00	-3.903360184770577335e-01
-8.832275684157315787e-01	3.944272060174807137e+00	-6.267510011110162260e-01
-9.271422726319894503e-01	4.242454411640080636e+00	-5.724322713085362446e-01
-1.024197422392345791e+00	4.653631026859192943e+00	-6.219920151550419885e-01
